game,price,tag,has_deluxe,is_combo,combo_list,deluxe_price,is_online,is_featured,price_mode,real_price,has_key,key_price,key_region
Persona 3 Reload Digital Deluxe Edition (PC / Xbox One / Xbox Series X|S),0,,False,False,,0,False,False,p3,0,True,779,EU
The Medium (PC / Xbox One / Xbox Series X|S),0,,False,False,,0,False,False,p3,0,True,574,EU
Hello Neighbor 2 (PC / Xbox One / Xbox Series X|S),0,,False,False,,0,False,False,p3,0,True,157,ARGENTINA
Syberia 3 (PC / Xbox One / Xbox Series X|S),0,,False,False,,0,False,False,p3,0,True,89,ARGENTINA
Palworld (PC / Xbox One / Xbox Series X|S),0,,False,False,,0,False,False,p3,0,True,347,EU
Age of Mythology: Retold (PC / Xbox Series X|S),0,,False,False,,0,False,False,p3,0,True,184,EU
Noel the Mortal Fate (PC / Xbox One / Xbox Series X|S),0,,False,False,,0,False,False,p3,0,True,99,ARGENTINA
Remnant: From the Ashes - Complete Edition (PC / Xbox One / Xbox Series X|S),0,,False,False,,0,False,False,p3,0,True,121,TURKEY
Sea of Thieves Deluxe Edition (PC / Xbox One / Xbox Series X|S),0,,False,False,,0,False,False,p3,0,True,311,UNITED STATES
Persona 3 Portable (PC / Xbox One / Xbox Series X|S),0,,False,False,,0,False,False,p3,0,True,181,GLOBAL
XIII (PC / Xbox One / Xbox Series X|S),0,,False,False,,0,False,False,p3,0,True,52,ARGENTINA
Ultimate Marvel vs. Capcom 3 (Xbox One / Xbox Series X|S),0,,False,False,,0,False,False,p3,0,True,186,UNITED STATES
The Knight Witch (PC / Xbox One / Xbox Series X|S),0,,False,False,,0,False,False,p3,0,True,101,ARGENTINA
Archvale (PC / Xbox One / Xbox Series X|S),0,,False,False,,0,False,False,p3,0,True,89,TURKEY
Nobody Saves the World + Frozen Hearth Bundle (PC / Xbox One / Xbox Series X|S),0,,False,False,,0,False,False,p3,0,True,120,ARGENTINA
Clan N (PC / Xbox One / Xbox Series X|S),0,,False,False,,0,False,False,p3,0,True,69,ARGENTINA
As Dusk Falls (PC / Xbox One / Xbox Series X|S),0,,False,False,,0,False,False,p3,0,True,103,TURKEY
Remnant: From the Ashes (PC / Xbox One / Xbox Series X|S),0,,False,False,,0,False,False,p3,0,True,427,EU
Back 4 Blood (PC / Xbox One / Xbox Series X|S),0,,False,False,,0,False,False,p3,0,True,673,TURKEY
Wasteland Remastered (PC / Xbox One / Xbox Series X|S),0,,False,False,,0,False,False,p3,0,True,75,ARGENTINA
Cuphead + The Delicious Last Course - Bundle (PC / Xbox One / Xbox Series X|S),0,,False,False,,0,False,False,p3,0,True,153,ARGENTINA
EVERSPACE (PC / Xbox One / Xbox Series X|S),0,,False,False,,0,False,False,p3,0,True,91,EU
Gungrave G.O.R.E (PC / Xbox One / Xbox Series X|S),0,,False,False,,0,False,False,p3,0,True,104,EU
Remnant: From the Ashes - Complete Edition (PC / Xbox One / Xbox Series X|S),0,,False,False,,0,False,False,p3,0,True,574,EU
PAYDAY 3 GOLD EDITION (PC / Xbox Series X|S),0,,False,False,,0,False,False,p3,0,True,735,EU
Wo Long: Fallen Dynasty (PC / Xbox One / Xbox Series X|S),0,,False,False,,0,False,False,p3,0,True,338,UNITED STATES
Wo Long: Fallen Dynasty Digital Deluxe Edition (PC / Xbox One / Xbox Series X|S),0,,False,False,,0,False,False,p3,0,True,443,EGYPT
Forza Horizon 5 Deluxe Edition (PC / Xbox One / Xbox Series X|S),0,,False,False,,0,False,False,p3,0,True,393,EU
Wo Long: Fallen Dynasty Digital Deluxe Edition (PC / Xbox One / Xbox Series X|S),0,,False,False,,0,False,False,p3,0,True,417,EU
Sifu (PC / Xbox One / Xbox Series X|S),0,,False,False,,0,False,False,p3,0,True,87,ARGENTINA
PAYDAY 3 SILVER EDITION (PC / Xbox Series X|S),0,,False,False,,0,False,False,p3,0,True,582,EU
Starfield Digital Premium Edition (PC / Xbox Series X|S),0,,False,False,,0,False,False,p3,0,True,1214,EGYPT
Skul: The Hero Slayer (PC / Xbox One / Xbox Series X|S),0,,False,False,,0,False,False,p3,0,True,62,ARGENTINA
Starfield (PC / Xbox Series X|S),0,,False,False,,0,False,False,p3,0,True,725,ARGENTINA
PAYDAY 3 GOLD EDITION (PC / Xbox Series X|S),0,,False,False,,0,False,False,p3,0,True,895,ARGENTINA
Starfield (PC / Xbox Series X|S),0,,False,False,,0,False,False,p3,0,True,725,GLOBAL
Back 4 Blood: Ultimate Edition (PC / Xbox One / Xbox Series X|S),0,,False,False,,0,False,False,p3,0,True,482,ARGENTINA
Road 96: Mile 0 (PC / Xbox One / Xbox Series X|S),0,,False,False,,0,False,False,p3,0,True,145,EU
Wo Long: Fallen Dynasty (PC / Xbox One / Xbox Series X|S),0,,False,False,,0,False,False,p3,0,True,338,ARGENTINA
Firewatch (PC / Xbox One / Xbox Series X|S),0,,False,False,,0,False,False,p3,0,True,290,EU
Sea of Thieves (PC / Xbox One / Xbox Series X|S),0,,False,False,,0,False,False,p3,0,True,232,GLOBAL
Wo Long: Fallen Dynasty (PC / Xbox One / Xbox Series X|S),0,,False,False,,0,False,False,p3,0,True,338,BRAZIL
Wo Long: Fallen Dynasty (PC / Xbox One / Xbox Series X|S),0,,False,False,,0,False,False,p3,0,True,338,EGYPT
Gears 5 (PC / Xbox One / Xbox Series X|S),0,,False,False,,0,False,False,p3,0,True,297,GLOBAL
PAYDAY 3 GOLD EDITION (PC / Xbox Series X|S),0,,False,False,,0,False,False,p3,0,True,735,EGYPT
Mount & Blade II: Bannerlord Digital Deluxe Edition (PC / Xbox One / Xbox Series X|S),0,,False,False,,0,False,False,p3,0,True,152,ARGENTINA
Ni no Kuni Wrath of the White Witch Remastered (PC / Xbox One / Xbox Series X|S),0,,False,False,,0,False,False,p3,0,True,153,EU
Starfield (PC / Xbox Series X|S),0,,False,False,,0,False,False,p3,0,True,883,EGYPT
Wo Long: Fallen Dynasty Digital Deluxe Edition (PC / Xbox One / Xbox Series X|S),0,,False,False,,0,False,False,p3,0,True,417,UNITED STATES
PAYDAY 3 (PC / Xbox Series X|S),0,,False,False,,0,False,False,p3,0,True,342,EGYPT
Forza Horizon 5 (PC / Xbox One / Xbox Series X|S),0,,False,False,,0,False,False,p3,0,True,401,TURKEY
Deep Rock Galactic - Ultimate Edition (PC / Xbox One / Xbox Series X|S),0,,False,False,,0,False,False,p3,0,True,69,ARGENTINA
The Medium (PC / Xbox One / Xbox Series X|S),0,,False,False,,0,False,False,p3,0,True,146,ARGENTINA
Martha Is Dead (PC / Xbox One / Xbox Series X|S),0,,False,False,,0,False,False,p3,0,True,114,ARGENTINA
Pentiment (PC / Xbox One / Xbox Series X|S),0,,False,False,,0,False,False,p3,0,True,138,EU
Wasteland 2: Director's Cut (PC / Xbox One / Xbox Series X|S),0,,False,False,,0,False,False,p3,0,True,93,EU
Ori: The Collection (PC / Xbox One / Xbox Series X|S),0,,False,False,,0,False,False,p3,0,True,144,EU
Gears Tactics (PC / Xbox One / Xbox Series X|S),0,,False,False,,0,False,False,p3,0,True,335,EU
Children of Zodiarcs (PC / Xbox One / Xbox Series X|S),0,,False,False,,0,False,False,p3,0,True,89,ARGENTINA
